Month-Year,Pivot Field Names,Pivot Field Values
01-Jan-16,Exports: Afghanistan,2.8
01-Jan-16,Exports: Algeria,3.8
01-Jan-16,Exports: Angola,5.8
01-Jan-16,Exports: Antigua and Barbuda,16.3
01-Jan-16,Exports: Argentina,14.1
01-Jan-16,Exports: Australia,1042
01-Jan-16,Exports: Austria,10.1
01-Jan-16,Exports: Bahamas,52.7
01-Jan-16,Exports: Bahrain,8.6
01-Jan-16,Exports: Bangladesh,241.3
01-Jan-16,Exports: Belarus,0.1
01-Jan-16,Exports: Belgium,1062.6
01-Jan-16,Exports: Benin,1.2
01-Jan-16,Exports: Bermuda,13.1
01-Jan-16,Exports: Brazil,101.4
01-Jan-16,Exports: Brunei,84.2
01-Jan-16,Exports: Bulgaria,5.6
01-Jan-16,Exports: Cambodia,253.3
01-Jan-16,Exports: Cameroon,0.9
01-Jan-16,Exports: Canada,129.5
01-Jan-16,Exports: Chile,4.5
01-Jan-16,Exports: China,5063.2
01-Jan-16,Exports: Christmas Islands,0.2
01-Jan-16,Exports: Colombia,5.7
01-Jan-16,Exports: Comoros,0.1
01-Jan-16,Exports: Costa Rica,2.9
01-Jan-16,Exports: Cote D'ivoire,3.8
01-Jan-16,Exports: Croatia,2
01-Jan-16,Exports: Cuba,0
01-Jan-16,Exports: Cyprus,24.1
01-Jan-16,"Exports: Czech, Republic",68.1
01-Jan-16,Exports: Denmark,27.1
01-Jan-16,Exports: Djibouti,4.5
01-Jan-16,Exports: Dominican Rep,0.7
01-Jan-16,Exports: Ecuador,2.5
01-Jan-16,Exports: Egypt,26.9
01-Jan-16,Exports: El Salvador,0.4
01-Jan-16,Exports: Estonia,0.4
01-Jan-16,Exports: Eswatini,0.3
01-Jan-16,Exports: Ethiopia,2
01-Jan-16,Exports: Fiji,10
01-Jan-16,Exports: Finland,8.5
01-Jan-16,Exports: France,362
01-Jan-16,Exports: French Polynesia,8.7
01-Jan-16,Exports: Gabon,2
01-Jan-16,Exports: Germany,752.4
01-Jan-16,Exports: Ghana,7
01-Jan-16,Exports: Greece,49.2
01-Jan-16,Exports: Guam,25.2
01-Jan-16,Exports: Guatemala,1.2
01-Jan-16,Exports: Guinea,0.4
01-Jan-16,Exports: Guyana,0.2
01-Jan-16,Exports: Honduras,0.3
01-Jan-16,Exports: Hong Kong SAR (China),4316.8
01-Jan-16,Exports: Hungary,25.9
01-Jan-16,Exports: India,1031.3
01-Jan-16,Exports: Indonesia,2821
01-Jan-16,Exports: Iran,6.7
01-Jan-16,Exports: Ireland,48.3
01-Jan-16,Exports: Israel,44.9
01-Jan-16,Exports: Italy,53.4
01-Jan-16,Exports: Jamaica,0.3
01-Jan-16,Exports: Japan,1572.2
01-Jan-16,Exports: Jordan,2.2
01-Jan-16,Exports: Kazakhstan,1.7
01-Jan-16,Exports: Kenya,8.2
01-Jan-16,Exports: Kuwait,15.6
01-Jan-16,Exports: Lao Peo Dem Rep,9.6
01-Jan-16,Exports: Latvia,0.4
01-Jan-16,Exports: Lebanon,4.4
01-Jan-16,Exports: Liberia,189.1
01-Jan-16,Exports: Libyan Arab Jamahiriya,2.7
01-Jan-16,Exports: Lithuania,0.7
01-Jan-16,Exports: Luxembourg,4.9
01-Jan-16,Exports: Macau SAR (China),14.7
01-Jan-16,Exports: Madagascar,1.6
01-Jan-16,Exports: Malaysia,3986
01-Jan-16,Exports: Maldives Rep of,25.1
01-Jan-16,Exports: Malta,95.5
01-Jan-16,Exports: Marshall Islands,174.2
01-Jan-16,Exports: Mauritius,5.7
01-Jan-16,Exports: Mexico,125.2
01-Jan-16,Exports: Mongolian Peo Rep,3.9
01-Jan-16,Exports: Morocco,11.8
01-Jan-16,Exports: Mozambique,4.1
01-Jan-16,Exports: Myanmar,326.4
01-Jan-16,Exports: Nepal,4.2
01-Jan-16,Exports: Netherlands Antilles,1.8
01-Jan-16,Exports: Netherlands,802.7
01-Jan-16,Exports: New Caledonia,2.1
01-Jan-16,Exports: New Zealand,149.4
01-Jan-16,Exports: Nigeria,18
01-Jan-16,Exports: Northern Mariana Islands,1.8
01-Jan-16,Exports: Norway,42.6
01-Jan-16,Exports: Oman,20.3
01-Jan-16,Exports: Other Countries of Africa,29.9
01-Jan-16,Exports: Other Countries of America,11.5
01-Jan-16,Exports: Other Countries of Asia,12
01-Jan-16,Exports: Other Countries of Europe,18.5
01-Jan-16,Exports: Other Countries of Oceania,7.1
01-Jan-16,Exports: Pakistan,86.3
01-Jan-16,Exports: Panama,353.3
01-Jan-16,Exports: Papua New Guinea,48.3
01-Jan-16,Exports: Paraguay,0.9
01-Jan-16,Exports: Peru,5.2
01-Jan-16,Exports: Philippines,718
01-Jan-16,Exports: Poland,20.6
01-Jan-16,Exports: Portugal,12.9
01-Jan-16,Exports: Puerto Rico,135.8
01-Jan-16,Exports: Qatar,11.6
01-Jan-16,Exports: Reunion,8
01-Jan-16,Exports: Romania,8.7
01-Jan-16,Exports: Russia,31.3
01-Jan-16,Exports: Saint Vincent and the Grenadines,3.3
01-Jan-16,Exports: Samoa,0.4
01-Jan-16,Exports: Saudi Arabia,88.6
01-Jan-16,Exports: Seychelles,4.3
01-Jan-16,Exports: Slovak Republic,1.9
01-Jan-16,Exports: Slovenia,3.2
01-Jan-16,Exports: Solomon Islands,1.7
01-Jan-16,Exports: South Africa,77.9
01-Jan-16,Exports: South Korea,1602.1
01-Jan-16,Exports: Spain,25.9
01-Jan-16,Exports: Sri Lanka,119.2
01-Jan-16,Exports: Sudan,0.1
01-Jan-16,Exports: Sweden,17.3
01-Jan-16,Exports: Switzerland,138.4
01-Jan-16,Exports: Syrian Arab Rep,1.1
01-Jan-16,Exports: Taiwan,1269
01-Jan-16,Exports: Tanzania,2.5
01-Jan-16,Exports: Thailand,1565.8
01-Jan-16,Exports: Trinidad & Tobago,2.1
01-Jan-16,Exports: Tunisia,1.1
01-Jan-16,Exports: Turkey,67.2
01-Jan-16,Exports: USA,2253.5
01-Jan-16,Exports: Ukraine,0.5
01-Jan-16,Exports: United Arab Emirates,487.4
01-Jan-16,Exports: United Kingdom,271.6
01-Jan-16,Exports: Uruguay,2.2
01-Jan-16,Exports: Vanuatu,2
01-Jan-16,Exports: Venezuela,4.1
01-Jan-16,Exports: Vietnam,1328.2
01-Jan-16,Exports: Yemen,1
