Month-Year,Pivot Field Names,Pivot Field Values
01-Jan-16,Imports: Afghanistan,0
01-Jan-16,Imports: Angola,0.2
01-Jan-16,Imports: Argentina,16.7
01-Jan-16,Imports: Australia,562.6
01-Jan-16,Imports: Austria,119.2
01-Jan-16,Imports: Bahamas,0
01-Jan-16,Imports: Bahrain,3.2
01-Jan-16,Imports: Bangladesh,18.1
01-Jan-16,Imports: Belarus,0.3
01-Jan-16,Imports: Belgium,111.7
01-Jan-16,Imports: Brazil,111
01-Jan-16,Imports: Brunei,7.9
01-Jan-16,Imports: Bulgaria,21.2
01-Jan-16,Imports: Cambodia,16.2
01-Jan-16,Imports: Cameroon,2.9
01-Jan-16,Imports: Canada,150
01-Jan-16,Imports: Chile,10.9
01-Jan-16,Imports: China,4706.9
01-Jan-16,Imports: Colombia,0.6
01-Jan-16,Imports: Comoros,0.9
01-Jan-16,Imports: Costa Rica,6.1
01-Jan-16,Imports: Cote D'ivoire,1.1
01-Jan-16,Imports: Croatia,1.2
01-Jan-16,Imports: Cuba,2.4
01-Jan-16,Imports: Cyprus,0.7
01-Jan-16,"Imports: Czech, Republic",27.5
01-Jan-16,Imports: Denmark,39.4
01-Jan-16,Imports: Djibouti,0.1
01-Jan-16,Imports: Dominican Rep,2.9
01-Jan-16,Imports: Ecuador,0.6
01-Jan-16,Imports: Egypt,25.3
01-Jan-16,Imports: El Salvador,0.4
01-Jan-16,Imports: Estonia,4.6
01-Jan-16,Imports: Eswatini,0.2
01-Jan-16,Imports: Ethiopia,0
01-Jan-16,Imports: Fiji,0.4
01-Jan-16,Imports: Finland,32.6
01-Jan-16,Imports: France,768.1
01-Jan-16,Imports: French Polynesia,0.2
01-Jan-16,Imports: Gabon,0
01-Jan-16,Imports: Germany,897.5
01-Jan-16,Imports: Ghana,10
01-Jan-16,Imports: Greece,14.1
01-Jan-16,Imports: Guam,0.2
01-Jan-16,Imports: Guatemala,2.1
01-Jan-16,Imports: Hong Kong SAR (China),373.5
01-Jan-16,Imports: Hungary,149.6
01-Jan-16,Imports: India,588.8
01-Jan-16,Imports: Indonesia,1339.5
01-Jan-16,Imports: Iran,1.7
01-Jan-16,Imports: Ireland,85.5
01-Jan-16,Imports: Israel,72
01-Jan-16,Imports: Italy,612.3
01-Jan-16,Imports: Jamaica,0.1
01-Jan-16,Imports: Japan,1724.9
01-Jan-16,Imports: Jordan,3.3
01-Jan-16,Imports: Kazakhstan,0.2
01-Jan-16,Imports: Kenya,1.5
01-Jan-16,Imports: Kuwait,131.8
01-Jan-16,Imports: Lao Peo Dem Rep,0.2
01-Jan-16,Imports: Latvia,2.3
01-Jan-16,Imports: Lebanon,0.4
01-Jan-16,Imports: Liberia,0
01-Jan-16,Imports: Lithuania,3.4
01-Jan-16,Imports: Luxembourg,3.7
01-Jan-16,Imports: Macau SAR (China),0.7
01-Jan-16,Imports: Madagascar,9.6
01-Jan-16,Imports: Malaysia,3277.1
01-Jan-16,Imports: Maldives Rep of,0
01-Jan-16,Imports: Malta,20.4
01-Jan-16,Imports: Mauritius,2.4
01-Jan-16,Imports: Mexico,210.5
01-Jan-16,Imports: Morocco,10.5
01-Jan-16,Imports: Mozambique,0.1
01-Jan-16,Imports: Myanmar,16.6
01-Jan-16,Imports: Nepal,0.9
01-Jan-16,Imports: Netherlands Antilles,1.1
01-Jan-16,Imports: Netherlands,279.3
01-Jan-16,Imports: New Zealand,58
01-Jan-16,Imports: Nigeria,0.2
01-Jan-16,Imports: Northern Mariana Islands,1.4
01-Jan-16,Imports: Norway,102.4
01-Jan-16,Imports: Oman,14.5
01-Jan-16,Imports: Other Countries of Africa,148.8
01-Jan-16,Imports: Other Countries of America,18.1
01-Jan-16,Imports: Other Countries of Asia,1
01-Jan-16,Imports: Other Countries of Europe,5.5
01-Jan-16,Imports: Other Countries of Oceania,0.1
01-Jan-16,Imports: Pakistan,4.8
01-Jan-16,Imports: Panama,0.3
01-Jan-16,Imports: Papua New Guinea,35.6
01-Jan-16,Imports: Peru,3.4
01-Jan-16,Imports: Philippines,546.4
01-Jan-16,Imports: Poland,38.1
01-Jan-16,Imports: Portugal,22.6
01-Jan-16,Imports: Puerto Rico,26.8
01-Jan-16,Imports: Qatar,183.5
01-Jan-16,Imports: Reunion,0
01-Jan-16,Imports: Romania,7.6
01-Jan-16,Imports: Russia,314.7
01-Jan-16,Imports: Saudi Arabia,1042.4
01-Jan-16,Imports: Seychelles,0
01-Jan-16,Imports: Slovak Republic,4.9
01-Jan-16,Imports: Slovenia,5.6
01-Jan-16,Imports: Solomon Islands,0
01-Jan-16,Imports: South Africa,64.1
01-Jan-16,Imports: South Korea,1744.2
01-Jan-16,Imports: Spain,84.4
01-Jan-16,Imports: Sri Lanka,9
01-Jan-16,Imports: Sudan,0.6
01-Jan-16,Imports: Sweden,107
01-Jan-16,Imports: Switzerland,974.6
01-Jan-16,Imports: Taiwan,2541.8
01-Jan-16,Imports: Tanzania,3.6
01-Jan-16,Imports: Thailand,712.6
01-Jan-16,Imports: Tunisia,3.4
01-Jan-16,Imports: Turkey,68.3
01-Jan-16,Imports: USA,3128.8
01-Jan-16,Imports: Ukraine,1.5
01-Jan-16,Imports: United Arab Emirates,666.2
01-Jan-16,Imports: United Kingdom,586.6
01-Jan-16,Imports: Uruguay,2.2
01-Jan-16,Imports: Vanuatu,0
01-Jan-16,Imports: Venezuela,122.6
01-Jan-16,Imports: Vietnam,304.9
01-Jan-16,Imports: Yemen,0.4
01-Jan-16,Imports: Zambia,0
01-Jan-16,Imports: Zimbabwe,1
01-Feb-16,Imports: Afghanistan,0.1
01-Feb-16,Imports: Angola,110.4
01-Feb-16,Imports: Argentina,9.6
01-Feb-16,Imports: Australia,581.5
01-Feb-16,Imports: Austria,110.6
01-Feb-16,Imports: Bahamas,0
01-Feb-16,Imports: Bahrain,1.6
01-Feb-16,Imports: Bangladesh,17.6
01-Feb-16,Imports: Belarus,17.8
01-Feb-16,Imports: Belgium,96.6
01-Feb-16,Imports: Brazil,139
01-Feb-16,Imports: Brunei,1.6
01-Feb-16,Imports: Bulgaria,15.9
01-Feb-16,Imports: Cambodia,159.9
01-Feb-16,Imports: Cameroon,2.6
01-Feb-16,Imports: Canada,153.3
01-Feb-16,Imports: Chile,5.7
01-Feb-16,Imports: China,3541.8
01-Feb-16,Imports: Colombia,64.1
01-Feb-16,Imports: Comoros,0.5
01-Feb-16,Imports: Costa Rica,5.1
01-Feb-16,Imports: Cote D'ivoire,2.6
01-Feb-16,Imports: Croatia,0.7
01-Feb-16,Imports: Cuba,2.1
01-Feb-16,Imports: Cyprus,1.2
01-Feb-16,"Imports: Czech, Republic",28.4
01-Feb-16,Imports: Denmark,39.5
01-Feb-16,Imports: Djibouti,0.3
01-Feb-16,Imports: Dominican Rep,3.6
01-Feb-16,Imports: Ecuador,0.8
01-Feb-16,Imports: Egypt,3.4
01-Feb-16,Imports: El Salvador,0.7
01-Feb-16,Imports: Estonia,0.8
01-Feb-16,Imports: Eswatini,0.2
01-Feb-16,Imports: Ethiopia,1.4
01-Feb-16,Imports: Fiji,0.4
01-Feb-16,Imports: Finland,29.2
01-Feb-16,Imports: France,940.1
01-Feb-16,Imports: French Polynesia,0.7
01-Feb-16,Imports: Gabon,0
01-Feb-16,Imports: Germany,929.7
01-Feb-16,Imports: Ghana,12.8
01-Feb-16,Imports: Greece,22.1
01-Feb-16,Imports: Guam,0.1
01-Feb-16,Imports: Guatemala,1.2
01-Feb-16,Imports: Hong Kong SAR (China),332.1
01-Feb-16,Imports: Hungary,157
01-Feb-16,Imports: India,687.6
01-Feb-16,Imports: Indonesia,1897.2
01-Feb-16,Imports: Iran,20.5
01-Feb-16,Imports: Ireland,88.5
01-Feb-16,Imports: Israel,62.6
01-Feb-16,Imports: Italy,342.3
01-Feb-16,Imports: Jamaica,0
01-Feb-16,Imports: Japan,2045.4
01-Feb-16,Imports: Jordan,6.4
01-Feb-16,Imports: Kazakhstan,0.1
01-Feb-16,Imports: Kenya,0.6
01-Feb-16,Imports: Kuwait,327.6
01-Feb-16,Imports: Lao Peo Dem Rep,0.2
01-Feb-16,Imports: Latvia,2.1
01-Feb-16,Imports: Lebanon,0.1
01-Feb-16,Imports: Liberia,0
01-Feb-16,Imports: Lithuania,1.6
01-Feb-16,Imports: Luxembourg,9.7
01-Feb-16,Imports: Macau SAR (China),0.3
01-Feb-16,Imports: Madagascar,19.8
01-Feb-16,Imports: Malaysia,3091.1
01-Feb-16,Imports: Maldives Rep of,0.1
01-Feb-16,Imports: Malta,25.1
01-Feb-16,Imports: Mauritius,1.1
01-Feb-16,Imports: Mexico,180.4
01-Feb-16,Imports: Morocco,10.4
01-Feb-16,Imports: Mozambique,0.2
01-Feb-16,Imports: Myanmar,12.5
01-Feb-16,Imports: Nepal,1.4
01-Feb-16,Imports: Netherlands Antilles,23.7
01-Feb-16,Imports: Netherlands,283.5
01-Feb-16,Imports: New Zealand,73.1
01-Feb-16,Imports: Nigeria,0.4
01-Feb-16,Imports: Northern Mariana Islands,0
01-Feb-16,Imports: Norway,73.7
01-Feb-16,Imports: Oman,37.4
01-Feb-16,Imports: Other Countries of Africa,99.4
01-Feb-16,Imports: Other Countries of America,31.7
01-Feb-16,Imports: Other Countries of Asia,5.9
01-Feb-16,Imports: Other Countries of Europe,6.8
01-Feb-16,Imports: Other Countries of Oceania,0.1
01-Feb-16,Imports: Pakistan,35.9
01-Feb-16,Imports: Panama,0.4
01-Feb-16,Imports: Papua New Guinea,9
01-Feb-16,Imports: Peru,1
01-Feb-16,Imports: Philippines,532.9
01-Feb-16,Imports: Poland,47
01-Feb-16,Imports: Portugal,25.4
01-Feb-16,Imports: Puerto Rico,15.3
01-Feb-16,Imports: Qatar,177
01-Feb-16,Imports: Reunion,0.1
01-Feb-16,Imports: Romania,10.5
01-Feb-16,Imports: Russia,258.5
01-Feb-16,Imports: Saudi Arabia,744.9
01-Feb-16,Imports: Seychelles,0
01-Feb-16,Imports: Slovak Republic,6.8
01-Feb-16,Imports: Slovenia,4
01-Feb-16,Imports: Solomon Islands,0
01-Feb-16,Imports: South Africa,100.4
01-Feb-16,Imports: South Korea,2333.1
01-Feb-16,Imports: Spain,77.9
